Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace,Coleccion,Palabras,Capitulos,Kudos
"punk tactics","darkerintheday","Spider-Man blinks at him. “Hey, man. You good? You looked pretty out of it a few minutes ago. Are you hurt? Do you need medical attention?""“Um.” Steven blinks right back. In the back of his mind, he realizes that they’re out of the armor—they probably just look like a civilian caught in the crossfire. He wonders if that’s to his benefit or detriment. “I’m fine. Aces, really.”“Okay, cool. Nice.” Spider-Man sounds surprisingly young, and a twist of fond concern goes through Steven at that thought. “Just making sure, since, y’know, things were pretty wild back there and ohmygodisthatThor’shammerwhatthefuck.”","Moon Knight (TV 2022), Marvel Cinematic Universe, Spider-Man - All Media Types, Daredevil (TV), The Avengers (Marvel Movies), No Archive Warnings Apply, Steven Grant & Marc Spector, Steven Grant & Peter Parker, Peter Parker & Marc Spector, Steven Grant & Jake Lockley & Marc Spector, Steven Grant (Marvel), Marc Spector, Jake Lockley, Peter Parker, Thor (Marvel), Matt Murdock, Humor, Not Canon Compliant, wellllll okay technically. not mcu compliant ig, moon knight can wield mjolnir","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/39212892","spiderman_fics__1","2,331","1/1","5,099"
"The Kid Who Brings His Class","Coincidental_fangirl","Peter's fieldtrip doesn't end in an explosion, but he and Harley do break a window, and almost break two windows.","Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, Marvel Cinematic Universe, Marvel, No Archive Warnings Apply, Peter Parker & Tony Stark, Harley Keener & Peter Parker, Harley Keener & Peter Parker & Tony Stark, Ned Leeds & Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Academic Decathlon Team & Roger Harrington, Peter Parker, Tony Stark, Pepper Potts, Harley Keener, Michelle Jones, Ned Leeds, Academic Decathlon Team (Spider-Man: Homecoming), Roger Harrington","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37916971","spiderman_fics__1","13,549","13/13","2,836"
"air force","OnlyForward","peter goes on a field trip to the air force building with the rest of his senior year and has to step in when there’s a break-in and the building goes into lockdown protocol aka another field trip fic gone wrong because peter parker can never have a normal field trip","Marvel Cinematic Universe, Marvel, Graphic Depictions Of Violence, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker & Tony Stark, Peter Parker & James ""Rhodey"" Rhodes, May Parker (Spider-Man) & Peter Parker, Peter Parker & Employees, Peter Parker, James ""Rhodey"" Rhodes, Tony Stark, Michelle Jones, Ned Leeds, Colonel James Bronson, some various Air Force employees, Peter Parker is the heir of Stark Industries, Peter Parker is the heir to Stark Industries, Heir!Peter, BAMF Peter Parker, Peter Parker is a Little Shit","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/38791695","spiderman_fics__1","6,994","1/1","7,677"
"Peter Parker's Senior Year... AKA How Peter Survives High School Now That His Identity Is Out","percyjacksonfan9261","High school has historically never been easy for anyone. However, now that Peter Parker's identity is out in the open in his senior year, he's about to find out that high school is going to get ten times harder. From filling out college applications to making sure that New York doesn't get completely destroyed to possibly finding a time conspiracy, Peter has to learn how to blend both being Spiderman and being Peter Parker into one balanced person in order to survive.","Marvel Cinematic Universe, The Avengers (Marvel Movies), No Archive Warnings Apply, Michelle Jones/Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker & Pepper Potts & Morgan Stark (Marvel Cinematic Universe) & Tony Stark, Peter Parker & Vision, Wanda Maximoff & Peter Parker, Wanda Maximoff/Vision, Billy Kaplan & Wanda Maximoff & Tommy Shepherd & Vision, Miles Morales & Peter Parker, Miles Morales/Gwen Stacy, Ganke Lee & Miles Morales, Kamala Khan & Miles Morales, Doreen Green & Kamala Khan, Cassie Lang & Scott Lang, Loki/Mobius M. Mobius, Harry Osborn & Peter Parker, Hunter B-15/Sylvie, Loki & Sylvie","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32357302","spiderman_fics__1","345,944","109/109","260"
"A Really Good Lawyer","CosmicCrunch","He's not a superhero anymore, not really. Without the backing of the Avengers or Stark Industries, Spider-Man is more of a street-level vigilante. The police and media are just as ready to paint him as a menace as they are a friendly neighborhood Spider-Man. Though he has no plans to ever be unmasked again, Peter realizes that it might help to get a lawyer.It's a good thing he knows one.","Spider-Man (Tom Holland Movies), Daredevil (TV), Marvel Cinematic Universe, No Archive Warnings Apply, Matt Murdock & Peter Parker, Matt Murdock & Franklin ""Foggy"" Nelson & Karen Page, Peter Parker, Matt Murdock, Franklin ""Foggy"" Nelson, Karen Page, Spider-Man: No Way Home (Movie), Spoilers, Peter Parker Needs a Hug, Peter Parker is a Mess, Spider-Man Identity Reveal, Secret Identity, Identity Reveal, Emotional Hurt/Comfort, Matt Murdock is a Good Bro, Post-Spider-Man: No Way Home (Movie)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/35766922","spiderman_fics__1","47,900","11/14","7,306"
"Keeping Someone Around","rejectofsociety","By some miracle, Peter feels okay today. By some miracle, he’s smiling and laughing. He’s laughing so hard his stomach hurts and tears are streaming down his cheeks. His company laughs with him and everyone who walks by takes a moment to stare-- but neither of them notices. They’re laughing so hard they forgot what made them laugh in the first place.","Moon Knight (TV 2022), Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Steven Grant, Peter Parker, Steven Grant, First Meetings, Healing, Comfort, Peter Parker Needs a Hug, Steven Grant Needs a Hug, they both get metaphorically hugged, brief discussion of death, Post-Spider-Man: No Way Home (Movie), Spider-Man: No Way Home (Movie) Compliant, But also, Not Canon Compliant, reject learn how to end a fic challenge, challenge failed","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/38174614","spiderman_fics__1","1,210","1/1","810"
"Precious Prodigy Peter Parker","concreteflour","A 5 + 2 of our genius Peter Parker.  This will be for the people around him who realize how smart the young man is.","Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), No Archive Warnings Apply, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker & Tony Stark, Principal Morita and a teacher, Bruce Banner, Tony Stark, Pepper Potts, Original Characters, May Parker (Spider-Man), will add as we go, Genius Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/21711016","spiderman_fics__1","16,727","11/11","6,565"
"no stupid questions","zippe","“Ok rule two-“2. DO NOT CHEAT, I HAVE SUPER-SENSES AND CAN TELL IF YOU ARE. I’M NOT LYING.Miles blinks because he’s really not sure what he’s reading and if it’s real.“And, uh, rule three-“3. NO… VIGILANTISM(?)Why there are three dots and a question mark in that rule, he’s not sure.~Or, Peter’s life as the world’s most chaotic AP Chem teacher, from the eyes of his very confused — and very done — students","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, No Archive Warnings Apply, Peter Parker & students, Miles Morales & Peter Parker, Jefferson Davis & Miles Morales, Anya Sofia Corazon & Peter Parker, Peter Parker & Kitty Pryde, Peter Parker & Ben Reilly, Peter Parker & Gwen Stacy, Peter Parker, Miles Morales, Anya Sofia Corazon, Ganke Lee, Kitty Pryde, Original Characters, just a bunch of high schoolers really, Ben Reilly, Gwen Stacy","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37515796","spiderman_fics__1","15,507","5/5","5,290"
"Not broken, just bent","Cheerios_me_lovely","Tony and Pepper are only just getting a grasp of life as parents, with their newborn baby, Morgan. So when Tony gets a call from social services asking them to take in a traumatised, teenage Peter Parker and he agreed, his thought process had been ‘It’s only for a night or two until they find somewhere else, what could go wrong?’","Marvel Cinematic Universe, Rape/Non-Con, Underage Sex, Pepper Potts/Tony Stark, Peter Parker & Tony Stark, Peter Parker & Pepper Potts & Tony Stark, Tony Stark, Pepper Potts, Morgan Stark (Marvel Cinematic Universe), Peter Parker, James ""Rhodey"" Rhodes, Original Male Character(s), Happy Hogan, Iron Family, Tony Stark Acting as Peter Parker's Parental Figure, Peter Parker Needs a Hug, Hurt Peter Parker, Peter Parker Whump, Teen Peter Parker, Parent Tony Stark","Rape/Non-Con, Underage SexRape/Non-ConUnderage Sex","https://archiveofourown.org/collections/spiderman_fics__1/works/33413005","spiderman_fics__1","133,427","30/30","5,543"
"The Inter-club Competition","gelation","It's time for the annual inter-club competition and everyone is paying attention to the academic decathlon team, not because they won the national title but because everyone was aware that the decathlon team… Didn't really have any other talent?At least, that's what they thought.Enter Eugene Thompson and Peter Parker.Academic decathlon rivals.Frenemies with an ongoing streak of vindictive pranksAnd…Dancing with the stars enthusiasts.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Flash Thompson & Peter Parker, Betty Brant/Ned Leeds, Ned Leeds & Peter Parker, Ned Leeds & Flash Thompson, Betty Brant, Flash Thompson, Peter Parker, Roger Harrington, Ned Leeds, Cindy Moon, Academic Decathlon Team - Character, Dancer Peter Parker, Dancer Flash Thompson, Photographer Ned Leeds, Peter Parker & Flash Thompson Friendship, Flash isn't a bully here, they made up in first year","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37835464","spiderman_fics__1","3,927","1/1","1,975"
"panic attack at the compound","OnlyForward","tony stark knew how to be many things. he knew how to put up a front, become the cold, heartless bastard people thought he was. He knew how to smile and act in front of the media. he knew how to be a superhero, how to be bold, how to be chivalrous, how to be iron man in the face of danger. what he didn’t know was how to be a person. not anymore. he’d given up on it all, given up on trust. putting it bluntly, tony stark had given up on steve rogers. and to tell you the truth, tony never told peter to punch steve rogers in the face. but he sure as hell did enjoy watching it.","Marvel Cinematic Universe, The Avengers (Marvel Movies), Marvel, No Archive Warnings Apply, Peter Parker & Tony Stark, Steve Rogers & Tony Stark, Tony Stark & Avengers Team, Peter Parker & Steve Rogers & Tony Stark, Pepper Potts & Tony Stark, Tony Stark, Peter Parker, Steve Rogers, Avengers Team, Natasha Romanov (Marvel), Clint Barton, Sam Wilson (Marvel), James ""Bucky"" Barnes, Scott Lang, Pepper Potts, Vision (Marvel)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37351756","spiderman_fics__1","6,176","2/2","3,278"
"the games you played were never fun","SunshineDawn","""Peter who?"" They sounded annoyed. 
   ""Peter Stark.""    The man's glare got darker. ""You're no Stark. Stark's aren't puny. Or stupid.""    ""Um, the papers said so. Born a Stark, and raised one, thank you."" Peter snapped, running his hand through his curls.  In seconds, the man's hand was around his wrist, tight- yanking it from his head. The other hand smacked his face. ""Boys don't talk back to adults. It would do you well to learn manners, brat."" ---- He flinched and closed his eyes as the man raised his hand again, only for the hit to never land.    ""Don't you ever touch my son.""    His dad.  ""How dare you touch me, Anthony."" The man yanked his wrist out of Tony's grip. ""I am your father."" ----TLDR: Howard Stark meets Peter Stark, Tony's biological son, when Peter is 16 without Tony being around. Howard decides he doesn't like Peter, and is going to make it known. It ends in a fight, a hospital trip, and a bonding between a father and son.Oh and, Howard getting kicked out of the tower by Steve Rogers, Tony's boyfriend.","Marvel Cinematic Universe, No Archive Warnings Apply, Peter Parker & Tony Stark, Background Steve Rogers/Tony Stark - Relationship, Peter Parker, Howard Stark, Tony Stark, Steve Rogers, Pepper Potts, Howard Stark Lives, (somehow), Howard Stark's A+ Parenting, Howard Stark's Bad Parenting, Peter Parker Needs a Hug, Tony Stark Needs a Hug, Angst, Hurt/Comfort, Child Abuse, Stony - Freeform, Background Stony - Freeform","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37511164","spiderman_fics__1","2,513","1/1","903"
"Avengers Watch Spider-Man No Way Home","TheWeavingWinnower88","The movie left me feeling so heartbroken for our favorite spider kid so this is how I'm dealing with it. Expect everyone being protective of Peter and desperately wishing they could be there to kill all of his problems. Cough* cough* Natasha... It's exactly what the title says.They watch Spider-Man No Way Home*MAJOR SPOILERS FOR MOVIE**I don't own anything Marvel or Sony*","Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, The Avengers (Marvel Movies), Creator Chose Not To Use Archive Warnings, Michelle Jones/Peter Parker, Peter Parker & Tony Stark, Peter Parker & Pepper Potts, Peter Parker & Morgan Stark (Marvel Cinematic Universe), Peter Parker & Stephen Strange, May Parker (Spider-Man) & Peter Parker, Pepper Potts/Tony Stark, Avengers Team & Peter Parker, Matt Murdock & Peter Parker, Ned Leeds & Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker & Natasha Romanov, Tony Stark, Pepper Potts, Matt Murdock, Natasha Romanov (Marvel)","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/36728299","spiderman_fics__1","71,139","11/11","8,323"
"Five times the Avengers saw how strong Spider-man/Peter was + One time the world saw it.","King_Claus_The_First","Times when Spider-Man or Peter showed the Avengers he's not someone you just mess with.And one time he showed the world.(I can't get the tag, so just letting you know, Not Steve friendly for now)","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, Marvel Cinematic Universe, No Archive Warnings Apply, May Parker (Spider-Man) & Peter Parker & Tony Stark, Peter Parker & Tony Stark, Peter Parker & Natasha Romanov, Peter Parker & Sam Wilson, Peter Parker & Steve Rogers, Michelle Jones & Harley Keener & Ned Leeds & Peter Parker, Peter Parker, Tony Stark, Natasha Romanov (Marvel), May Parker (Spider-Man), Steve Rogers, Sam Wilson (Marvel), Happy Hogan, Thor (Marvel)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37459987","spiderman_fics__1","5,336","1/1","7,558"
"I'm Peter Parker; I Will Not Be Your Tour Guide","Azure_K_Mello","For Flash, the only thing better than being in the running for an internship at Stark Industries is the fact that Penis Parker isn't.That's what he thinks right up until he gets to Stark Tower and hears all about how the high school internship program is run.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker, Ned Leeds, Tony Stark, Flash Thompson, Friday (Marvel), Peter Parker's Field Trip to Stark Industries, Stark Industries Employee Peter Parker, High School, Intern Peter Parker, POV Flash Thompson","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/37028392","spiderman_fics__1","3,474","1/1","6,835"
"Dr. Cho the Pediatric Oncologist","the_fandoms_have_risen","There were only four medical specialists named Dr. Cho currently working in New York. One was the Geneticist working for The Avengers, one worked with infants and babies, one was a veterinarian, and one was a Pediatric oncologist.Peter wouldn’t be going to see an Avengers-level Geneticist. He definitely wouldn’t be going to see a baby or animal doctor, so that left the Pediatric Oncologist.The cancer doctor. Or, Somehow, while trying to keep both his internship and Spider-Man a secret, Peter has managed to convince his whole school that he is dying of cancer. Or, Peter Parker is weird, and the other students think they’ve figured out why.They haven’t.","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Peter Parker & Tony Stark, Peter Parker, Ned Leeds, Michelle Jones, Tony Stark, Helen Cho (Marvel), Cindy Moon, Abe Brown, Charles Murphy (Marvel), Betty Brant, Sally Avril, Flash Thompson, Jason Ionello","Choose Not To Use Archive Warnings, No Archive Warnings ApplyCreator Chose Not To Use Archive WarningsNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/36973138","spiderman_fics__1","16,953","1/1","4,720"
"Revealed","Lebaas","Just a bunch of one-shots revealing how Peter Parker isn't your average high schooler.","The Avengers (Marvel Movies), Marvel Cinematic Universe, Marvel, Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Peter Parker & Morgan Stark (Marvel Cinematic Universe), Michelle Jones/Peter Parker, Peter Parker, Ned Leeds, Morgan Stark (Marvel Cinematic Universe), Tony Stark, Michelle Jones, Flash Thompson, Peter Parker Needs a Hug, Precious Peter Parker, Hurt/Comfort, Angst and Hurt/Comfort, Fluff, Identity Reveal, Reveal","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/24423877","spiderman_fics__1","45,440","12/12","7,119"
"the heir to stark industries","OnlyForward","peter parker doesn't know it yet, but he's the heir to stark industries. this fic is basically tony training him to be the heir by making peter act as ceo during the youngboss protocol, where peter takes charge of the company in case of emergencies. essentially, peter does cool stuff at stark industries and also there's a field trip fic in chapter 4, because everyone loves a field trip fic. multi-chapter fic!!","Marvel Cinematic Universe, Marvel, No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Pepper Potts, May Parker (Spider-Man) & Peter Parker & Tony Stark, Peter Parker, Tony Stark, May Parker (Spider-Man), Academic Decathlon Team (Spider-Man: Homecoming), Pepper Potts, Happy Hogan, Other Marvel Characters, Michelle Jones, Tony Stark is Good With Kids, Tony Stark Has a Heart, Tony Stark Acting as Peter Parker's Parental Figure, Stark Industries Employee Peter Parker, Peter Parker is the heir of Stark Industries, Peter Parker's Field Trip to Stark Industries","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/36211993","spiderman_fics__1","45,106","4/4","14,229"
